"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","rank"
GO:0006986,GO:0006986,response to unfolded protein,21/591,169/18493,1.10E-07,7.54E-07,3.12E-07,ATF3/BAK1/BAX/CCND1/DAB2IP/HSP90AA1/HSPA4/HSPB1/PPP1R15A/CALR/CXCL8/DAXX/EIF2AK3/EP300/HSF1/HSPA2/HSPA9/HSPD1/HSPE1/IGFBP1/SERPINH1,21,
GO:0014823,GO:0014823,response to activity,13/591,65/18493,1.14E-07,7.79E-07,3.23E-07,AGT/CAT/CDK1/CREB1/GCLC/HIF1A/MTOR/PRKDC/PTEN/HSF1/HSPD1/IL10/LEP,13,
GO:0045807,GO:0045807,positive regulation of endocytosis,19/591,141/18493,1.21E-07,8.31E-07,3.44E-07,ANGPT1/APOE/BCR/CLU/DAB2/EGF/IL1B/PTPRC/TNF/VEGFA/CALR/CD36/DNM2/HNRNPK/PLCG2/PPARG/SELE/SERPINE1/TF,19,
GO:1900034,GO:1900034,regulation of cellular response to heat,11/591,45/18493,1.22E-07,8.37E-07,3.47E-07,ATM/ATR/GSK3B/HSP90AA1/MTOR/RPA1/RPA2/SIRT1/EP300/HSF1/IER5,11,
GO:0010742,GO:0010742,macrophage derived foam cell differentiation,10/591,36/18493,1.24E-07,8.44E-07,3.49E-07,AGT/CSF2/NFKB1/NFKBIA/PPARA/STAT1/TGFB1/CD36/EP300/PPARG,10,
GO:0090077,GO:0090077,foam cell differentiation,10/591,36/18493,1.24E-07,8.44E-07,3.49E-07,AGT/CSF2/NFKB1/NFKBIA/PPARA/STAT1/TGFB1/CD36/EP300/PPARG,10,
GO:0071398,GO:0071398,cellular response to fatty acid,12/591,55/18493,1.27E-07,8.65E-07,3.58E-07,AKT1/CDK4/CREB1/E2F1/SRC/XRCC5/AKR1C3/P2RY6/PPARG/PRKCE/TNC/TNFSF4,12,
GO:0045444,GO:0045444,fat cell differentiation,24/591,217/18493,1.30E-07,8.84E-07,3.66E-07,AKT1/ATF2/CCND1/CREB1/E2F1/GATA3/GPX1/IL6/MAPK14/MTOR/PER2/PTGS2/SIRT1/SIRT2/TGFB1/TNF/BMP2/EP300/IL11/ITGA6/LEP/PIAS1/PPARG/SOCS1,24,
GO:2000108,GO:2000108,positive regulation of leukocyte apoptotic process,9/591,28/18493,1.31E-07,8.92E-07,3.69E-07,BAX/SIRT1/TP53/ANXA1/CDKN2A/IL10/LYN/P2RX7/PIK3CB,9,
GO:0009791,GO:0009791,post-embryonic development,15/591,89/18493,1.33E-07,9.04E-07,3.75E-07,ABL1/AGO2/BAK1/BAX/BCL11B/BCL2/ERCC1/ERCC2/GATA3/MTOR/VEGFA/ACO1/ATRX/HMGN1/SMAD2,15,
GO:0035270,GO:0035270,endocrine system development,18/591,128/18493,1.35E-07,9.15E-07,3.79E-07,AKT1/BAK1/BRAF/CDH1/CREB1/GATA3/GSK3B/IL6/RAF1/TSPO/ANXA1/BMP2/EIF2AK3/MAP2K1/MEN1/SHH/SMAD2/SOX2,18,
GO:2000241,GO:2000241,regulation of reproductive process,19/591,142/18493,1.36E-07,9.21E-07,3.82E-07,AGO2/AR/CDC25A/CDC25C/CTNNB1/ESR1/IGF1/RAD1/SIRT2/SRC/TIMP1/ASPM/CALR/CDC25B/DUSP1/NOX5/SHH/SNAI1/STK11,19,
GO:0060968,GO:0060968,regulation of gene silencing,17/591,115/18493,1.43E-07,9.70E-07,4.02E-07,AGO2/CDK2/EGFR/ESR1/HIST1H3J/HIST4H4/SIRT1/STAT3/TERT/TGFB1/TP53/DNMT1/MAP2K1/MAP2K2/MYCN/PPARG/TRIM28,17,
GO:0046661,GO:0046661,male sex differentiation,20/591,157/18493,1.46E-07,9.84E-07,4.08E-07,AR/BAX/BCL2/BCL2L1/CCND1/CTNNB1/ERCC1/ESR1/GATA3/ICAM1/KIT/MSH2/RRM1/AKR1C3/ASPM/ATRX/FLNA/LHCGR/NUDT1/SHH,20,
GO:0048305,GO:0048305,immunoglobulin secretion,8/591,21/18493,1.46E-07,9.84E-07,4.08E-07,CD40/HLA-E/IL2/IL6/TNF/IL5/TNFSF4/TRAF2,8,
GO:0055093,GO:0055093,response to hyperoxia,8/591,21/18493,1.46E-07,9.84E-07,4.08E-07,CAT/CAV1/CDK4/CDKN1A/FAS/POLB/NOX1/PPARG,8,
GO:0038093,GO:0038093,Fc receptor signaling pathway,22/591,187/18493,1.46E-07,9.84E-07,4.08E-07,ABL1/ACTB/ACTG1/HSP90AA1/IKBKB/JUN/KIT/MAPK8/NFKB1/PTK2/PTPRC/RAC1/SRC/FOS/LYN/NFATC2/PAK1/PAK2/PIK3CB/PLCG2/PRKCE/WIPF1,22,
GO:0030900,GO:0030900,forebrain development,33/591,374/18493,1.51E-07,1.01E-06,4.19E-07,BAX/BCL11B/CASP3/CDH1/CREB1/CTNNB1/DAB2IP/E2F1/EGFR/GSK3B/H2AFX/HIF1A/HPRT1/KRAS/MCPH1/PTEN/RHOA/RRM1/SETD2/SRC/XRCC1/ARID1A/ASPM/ATRX/BMP2/CDH2/CDK5/FGFR1/FLNA/HDAC1/SHH/SOX2/TWSG1,33,
GO:0006278,GO:0006278,RNA-dependent DNA biosynthetic process,14/591,78/18493,1.55E-07,1.04E-06,4.30E-07,ATM/ATR/CTNNB1/HSP90AA1/MRE11/RAD50/RPA1/RPA2/SRC/TERT/XRCC5/NEK2/TNKS/TNKS1BP1,14,
GO:0061333,GO:0061333,renal tubule morphogenesis,14/591,78/18493,1.55E-07,1.04E-06,4.30E-07,AGT/BCL2/CTNNB1/GATA3/GDNF/ILK/MYC/PTCH1/TGFB1/VEGFA/BMP2/FGF2/HOXB7/SHH,14,
GO:0002711,GO:0002711,positive regulation of T cell mediated immunity,11/591,46/18493,1.56E-07,1.04E-06,4.32E-07,FOXP3/GATA3/HLA-E/IL1B/IL6/PTPRC/HSPD1/NLRP3/P2RX7/TNFSF4/TRAF2,11,
GO:0031103,GO:0031103,axon regeneration,11/591,46/18493,1.56E-07,1.04E-06,4.32E-07,BCL2/BRAF/DHFR/JAK2/JUN/PTEN/TSPO/GAP43/MAP2K1/NTRK3/TNC,11,
GO:0031952,GO:0031952,regulation of protein autophosphorylation,11/591,46/18493,1.56E-07,1.04E-06,4.32E-07,ACE/CAV1/JUN/MRE11/NBN/PTPRC/RAD50/SRC/VEGFA/PDGFA/TNKS1BP1,11,
GO:1902893,GO:1902893,regulation of pri-miRNA transcription by RNA polymerase II,10/591,37/18493,1.65E-07,1.10E-06,4.55E-07,HIF1A/JUN/PPARA/STAT3/TERT/TGFB1/TP53/BMP2/FOS/IL10,10,
GO:0060828,GO:0060828,regulation of canonical Wnt signaling pathway,25/591,236/18493,1.65E-07,1.10E-06,4.55E-07,APC/APOE/CAV1/CTNNB1/DAB2/DAB2IP/EGF/EGFR/EGR1/GSK3B/ILK/MAPK14/NFKB1/SRC/ASPM/BMP2/CDH2/FOXO3/HDAC1/IGFBP1/SHH/SOX2/STK11/TNKS/XIAP,25,
GO:0006006,GO:0006006,glucose metabolic process,23/591,204/18493,1.67E-07,1.11E-06,4.61E-07,AKT1/ATF3/GCG/GSK3B/IGF1/IRS1/MAPK14/MTOR/PER2/PKM/POMC/PPARA/SIRT1/SRC/TNF/CLK2/G6PD/LEP/RGN/SESN2/TFF3/TIGAR/WDTC1,23,
GO:0001325,GO:0001325,formation of extrachromosomal circular DNA,7/591,15/18493,1.69E-07,1.12E-06,4.64E-07,DNA2/ERCC1/EXO1/NBN/XRCC5/WRN/XRCC3,7,
GO:0048569,GO:0048569,post-embryonic animal organ development,7/591,15/18493,1.69E-07,1.12E-06,4.64E-07,BAK1/BAX/BCL11B/ERCC1/VEGFA/HMGN1/LDHA,7,
GO:0090656,GO:0090656,t-circle formation,7/591,15/18493,1.69E-07,1.12E-06,4.64E-07,DNA2/ERCC1/EXO1/NBN/XRCC5/WRN/XRCC3,7,
GO:0090737,GO:0090737,telomere maintenance via telomere trimming,7/591,15/18493,1.69E-07,1.12E-06,4.64E-07,DNA2/ERCC1/EXO1/NBN/XRCC5/WRN/XRCC3,7,
GO:0050871,GO:0050871,positive regulation of B cell activation,19/591,144/18493,1.70E-07,1.13E-06,4.67E-07,BCL2/CD40/IL2/IL6/MLH1/MSH2/MSH6/PTPRC/RIF1/TGFB1/TP53BP1/IL13/IL4/IL5/NFATC2/PAXIP1/TLR4/TNFSF4/UNG,19,
GO:0050921,GO:0050921,positive regulation of chemotaxis,18/591,130/18493,1.72E-07,1.13E-06,4.69E-07,CCL4/HSPB1/IL6/KDR/MAPK14/PTK2B/RAC1/TGFB1/VEGFA/ADAM17/ARTN/CALR/CCR7/CXCL8/FGF2/FGFR1/NTRK3/SERPINE1,18,
GO:0035966,GO:0035966,response to topologically incorrect protein,22/591,189/18493,1.77E-07,1.17E-06,4.83E-07,ATF3/BAK1/BAX/CCND1/CLU/DAB2IP/HSP90AA1/HSPA4/HSPB1/PPP1R15A/CALR/CXCL8/DAXX/EIF2AK3/EP300/HSF1/HSPA2/HSPA9/HSPD1/HSPE1/IGFBP1/SERPINH1,22,
GO:0000083,GO:0000083,regulation of transcription involved in G1/S transition of mitotic cell cycle,9/591,29/18493,1.85E-07,1.22E-06,5.05E-07,CCNE1/DHFR/E2F1/PCNA/POLA1/RB1/CCNA1/CDC6/E2F4,9,
GO:0042108,GO:0042108,positive regulation of cytokine biosynthetic process,12/591,57/18493,1.93E-07,1.27E-06,5.25E-07,CD4/EGR1/EREG/HMOX1/HSPB1/IL1A/IL1B/PTPRC/TNF/IRF1/TBK1/TLR4,12,
GO:0097755,GO:0097755,positive regulation of blood vessel diameter,12/591,57/18493,1.93E-07,1.27E-06,5.25E-07,AGT/APOE/EGFR/GPX1/HMOX1/SOD1/SOD2/ATG5/EPHX2/LEP/NOS3/UCN,12,
GO:0050777,GO:0050777,negative regulation of immune response,18/591,131/18493,1.93E-07,1.27E-06,5.25E-07,ANGPT1/BCR/CD59/FOXP3/GPX1/HLA-E/HMOX1/IFI16/IFNB1/IL2/PTPRC/TGFB1/TNF/ANXA1/IL10/LYN/PPARG/TNFSF4,18,
GO:0000012,GO:0000012,single strand break repair,6/591,10/18493,1.96E-07,1.28E-06,5.31E-07,APLF/LIG4/PARP1/SIRT1/XRCC1/TDP1,6,
GO:0030336,GO:0030336,negative regulation of cell migration,30/591,324/18493,1.97E-07,1.29E-06,5.35E-07,AKT1/APEX1/APOE/BCL2/BCR/BRAF/CDH1/DAB2IP/HMOX1/IL24/ILK/KLRK1/KLRC4-KLRK1/PTEN/RHOA/RHOB/SLURP1/STAT3/TGFB1/THY1/TIMP1/ACVRL1/CALR/DUSP1/FGF2/FOXO3/IL4/PPARG/SERPINE1/SHH,30,
GO:0090199,GO:0090199,regulation of release of cytochrome c from mitochondria,11/591,47/18493,1.98E-07,1.30E-06,5.37E-07,AKT1/BAK1/BAX/BCL2L1/CLU/GPX1/HGF/IGF1/MMP9/TP53/PLAUR,11,
GO:0042698,GO:0042698,ovulation cycle,13/591,68/18493,1.99E-07,1.30E-06,5.37E-07,CASP3/EGFR/EGR1/EREG/ESR1/PCNA/SIRT1/SRC/CASP2/FOXO3/LEP/LHCGR/NOS3,13,
GO:0051881,GO:0051881,regulation of mitochondrial membrane potential,13/591,68/18493,1.99E-07,1.30E-06,5.37E-07,ABL1/AKT1/BAK1/BAX/BCL2/BCL2L1/GCLC/KDR/PARP1/SOD1/SRC/TSPO/P2RX7,13,
GO:1902275,GO:1902275,regulation of chromatin organization,21/591,175/18493,2.00E-07,1.30E-06,5.40E-07,ATM/BRCA1/CHEK1/CTNNB1/FOXP3/GATA3/GCG/IL1B/MAPK8/RIF1/SIRT1/TGFB1/TLK1/VEGFA/ATG5/ATRX/DNMT1/PAXIP1/SETD7/TRIM28/UCN,21,
GO:0018205,GO:0018205,peptidyl-lysine modification,32/591,361/18493,2.10E-07,1.37E-06,5.65E-07,ATF2/BRCA1/BRCA2/CHEK1/CTNNB1/EGR1/FOXP3/GATA3/GCG/IL1B/KAT5/LOX/MDM2/PML/RIF1/SETD2/SETMAR/SIRT1/SIRT2/TGFB1/ATG5/ATRX/CBX4/DNMT1/EP300/MEN1/PAXIP1/PIAS1/PIAS4/SETD7/SUV39H1/TRIM28,32,
GO:1903052,GO:1903052,positive regulation of proteolysis involved in cellular protein catabolic process,17/591,118/18493,2.10E-07,1.37E-06,5.66E-07,AKT1/CAV1/CLU/DAB2/DAB2IP/EGF/GCLC/GSK3B/MDM2/PLK1/PTEN/PTK2/PTK2B/SIRT2/KEAP1/PIAS1/RGN,17,
GO:0009743,GO:0009743,response to carbohydrate,24/591,223/18493,2.17E-07,1.41E-06,5.83E-07,CASP3/CAT/EGR1/ERCC1/GCG/GCLC/HIF1A/ICAM1/PTEN/PTGS2/PTK2B/RAF1/RHOA/TGFB1/FOXO3/LDHA/LEP/LGALS1/LYN/MEN1/NADK/PRKCE/SESN2/SMAD2,24,
GO:0097553,GO:0097553,calcium ion transmembrane import into cytosol,18/591,132/18493,2.17E-07,1.41E-06,5.83E-07,ABL1/BAX/FASLG/LCK/PTK2B/PTPRC/TGFB1/THY1/ATG5/CCR7/FGF2/IL13/LYN/NTSR1/P2RX7/P2RY6/PLCG2/PRKCE,18,
GO:2000637,GO:2000637,positive regulation of gene silencing by miRNA,8/591,22/18493,2.23E-07,1.45E-06,6.00E-07,AGO2/EGFR/STAT3/TGFB1/TP53/MAP2K1/MAP2K2/MYCN,8,
GO:0009755,GO:0009755,hormone-mediated signaling pathway,25/591,240/18493,2.28E-07,1.48E-06,6.11E-07,AR/BRCA1/CCNE1/CTNNB1/DAB2/ESR1/JAK2/KAT5/PARP1/PPARA/RB1/RHOA/SIRT1/SRC/ARID1A/CALR/DAXX/EP300/HDAC1/LHCGR/NR2C2/PAK1/PIAS1/PPARG/TP63,25,
GO:0048708,GO:0048708,astrocyte differentiation,13/591,69/18493,2.38E-07,1.54E-06,6.36E-07,ABL1/EGFR/KRAS/STAT3/TNF/BMP2/GFAP/MAP2K1/MT3/NTRK3/PRPF19/SHH/TLR4,13,
GO:2000027,GO:2000027,regulation of animal organ morphogenesis,23/591,208/18493,2.38E-07,1.54E-06,6.36E-07,ABL1/AGT/AR/BAX/BCL2/CTNNB1/DAB2/ESR1/GATA3/GDNF/HGF/MYC/RAC1/RHOA/STAT1/TGFB1/TNF/VEGFA/BMP2/FGFR1/HOXB7/PDGFA/SHH,23,
GO:0019218,GO:0019218,regulation of steroid metabolic process,17/591,119/18493,2.38E-07,1.54E-06,6.36E-07,AGT/APOE/EGR1/IFNG/IL1B/KIT/NFKB1/SIRT1/SOD1/SP1/TNF/TSPO/AKR1C3/BMP2/EPHX2/LEP/SNAI1,17,
GO:0015908,GO:0015908,fatty acid transport,15/591,93/18493,2.42E-07,1.56E-06,6.47E-07,ACE/AKT1/APOE/IL1B/NOS2/PPARA/ANXA1/CD36/LEP/NTSR1/P2RX7/PLA2G2D/PLA2G4A/PPARG/TNFRSF11A,15,
GO:0043620,GO:0043620,regulation of DNA-templated transcription in response to stress,14/591,81/18493,2.52E-07,1.62E-06,6.72E-07,ATF3/CA9/CHEK1/EGR1/HIF1A/HMOX1/JUN/SIRT2/TP53/VEGFA/EP300/HSF1/MT3/SESN2,14,
GO:1903050,GO:1903050,regulation of proteolysis involved in cellular protein catabolic process,23/591,209/18493,2.59E-07,1.67E-06,6.91E-07,AKT1/CAV1/CLU/DAB2/DAB2IP/EGF/GCLC/GPX1/GSK3B/MDM2/PLK1/PML/PTEN/PTK2/PTK2B/SIRT2/CSNK2A1/HIPK2/KEAP1/PIAS1/RGN/SHH/UBE2K,23,
GO:0071560,GO:0071560,cellular response to transforming growth factor beta stimulus,25/591,242/18493,2.67E-07,1.71E-06,7.10E-07,CAV1/CREB1/DAB2/JUN/PARP1/PML/PTK2/RHOA/SIRT1/SRC/TGFB1/ACVRL1/ADAM17/DNM2/EP300/FOS/HIPK2/MEN1/PXN/RASL11B/SMAD2/STK11/TWSG1/USP9X/WWOX,25,
GO:1903362,GO:1903362,regulation of cellular protein catabolic process,25/591,242/18493,2.67E-07,1.71E-06,7.10E-07,AKT1/APOE/CAV1/CLU/DAB2/DAB2IP/EGF/GCLC/GPX1/GSK3B/HSP90AA1/MDM2/PLK1/PML/PTEN/PTK2/PTK2B/SIRT2/CSNK2A1/HIPK2/KEAP1/PIAS1/RGN/SHH/UBE2K,25,
GO:0007173,GO:0007173,epidermal growth factor receptor signaling pathway,17/591,120/18493,2.69E-07,1.72E-06,7.14E-07,ABL1/AGT/AKT1/DAB2IP/EGF/EGFR/EREG/FASLG/MMP9/PTK2/PTK2B/SRC/TGFB1/ADAM17/DOK1/PLAUR/TGFA,17,
GO:0038061,GO:0038061,NIK/NF-kappaB signaling,17/591,120/18493,2.69E-07,1.72E-06,7.14E-07,AKT1/EGFR/IL1B/ILK/NFKBIA/PRDX1/REL/RELB/RHOA/TNF/BIRC3/CALR/NLRP3/RPS3/TLR4/TNFRSF10A/TRAF2,17,
GO:0030307,GO:0030307,positive regulation of cell growth,20/591,163/18493,2.71E-07,1.73E-06,7.17E-07,AKT1/BCL2/EGFR/ERBB2/IGF1/IL2/ILK/MTOR/PTK2B/RHOA/VEGFA/ADAM17/CSNK2A1/CXCL16/FN1/IGFBP1/NTRK3/PAK1/PARP2/UCN,20,
GO:0045621,GO:0045621,positive regulation of lymphocyte differentiation,15/591,94/18493,2.80E-07,1.78E-06,7.39E-07,EGR3/FOXP3/GATA3/IFNG/IL2/PTPRC/RHOA/TGFB1/ANXA1/IL4/NLRP3/SHH/SOCS1/TNFSF4/TNFSF9,15,
GO:0060993,GO:0060993,kidney morphogenesis,15/591,94/18493,2.80E-07,1.78E-06,7.39E-07,AGT/BCL2/CTNNB1/GATA3/GDNF/ILK/MYC/PTCH1/STAT1/TGFB1/VEGFA/BMP2/FGF2/HOXB7/SHH,15,
GO:2000060,GO:2000060,positive regulation of ubiquitin-dependent protein catabolic process,15/591,94/18493,2.80E-07,1.78E-06,7.39E-07,AKT1/CAV1/CLU/DAB2/EGF/GCLC/GSK3B/MDM2/PLK1/PTEN/PTK2/PTK2B/SIRT2/KEAP1/PIAS1,15,
GO:0050920,GO:0050920,regulation of chemotaxis,23/591,210/18493,2.83E-07,1.80E-06,7.45E-07,CCL4/HSPB1/IL6/KDR/KLRK1/KLRC4-KLRK1/MAPK14/PTK2B/RAC1/TGFB1/VEGFA/ADAM17/ARTN/CALR/CCR7/CXCL8/DUSP1/FGF2/FGF4/FGFR1/LYN/NTRK3/SERPINE1,23,
GO:0006308,GO:0006308,DNA catabolic process,10/591,39/18493,2.84E-07,1.80E-06,7.46E-07,ATM/BAX/CASP3/DNASE1/SETMAR/SPO11/DNASE2/FEN1/HSF1/RGN,10,
GO:0008156,GO:0008156,negative regulation of DNA replication,10/591,39/18493,2.84E-07,1.80E-06,7.46E-07,ATR/CHEK2/HUS1/MRE11/MSH6/RAD17/SMC1A/SMC3/CDC6/LIG3,10,
GO:0033619,GO:0033619,membrane protein proteolysis,12/591,59/18493,2.88E-07,1.83E-06,7.57E-07,APOE/IFNG/IL1B/NFKB1/PSEN2/RET/TGFB1/TIMP1/TNF/ADAM17/IL10/P2RX7,12,
GO:0002566,GO:0002566,somatic diversification of immune receptors via somatic mutation,7/591,16/18493,2.92E-07,1.85E-06,7.66E-07,EXO1/MLH1/MSH2/MSH6/POLB/POLQ/UNG,7,
GO:0016446,GO:0016446,somatic hypermutation of immunoglobulin genes,7/591,16/18493,2.92E-07,1.85E-06,7.66E-07,EXO1/MLH1/MSH2/MSH6/POLB/POLQ/UNG,7,
GO:0006650,GO:0006650,glycerophospholipid metabolic process,32/591,367/18493,3.04E-07,1.92E-06,7.95E-07,ACHE/ATM/CDS1/EGF/EGFR/ERBB2/EREG/ESR1/FAM126A/HGF/IRS1/KIT/LCK/PIK3C3/PTEN/SRC/BMX/ERBB3/FGF2/FGF20/FGF4/FGFR1/FLT3/PDGFA/PIK3CB/PLA2G2D/PLA2G4A/PLCG2/PRDX6/PTPN13/SOCS1/SOCS3,32,
GO:0032535,GO:0032535,regulation of cellular component size,32/591,367/18493,3.04E-07,1.92E-06,7.95E-07,ABL1/AKT1/APOE/CDK4/CREB1/CSF3/GSK3B/ICAM1/ILK/LAMTOR5/MTOR/PPP1R15A/PTEN/PTK2B/RAC1/RET/RHOA/VEGFA/CCL11/CCR7/CDK5/DNM2/E2F4/FN1/MT3/NTRK3/P2RX7/PAK1/PRKCE/UCN/WDTC1/WIPF1,32,
GO:0008584,GO:0008584,male gonad development,18/591,135/18493,3.06E-07,1.93E-06,7.99E-07,AR/BAX/BCL2/BCL2L1/CCND1/ERCC1/ESR1/GATA3/ICAM1/KIT/MSH2/RRM1/AKR1C3/ASPM/ATRX/FLNA/LHCGR/NUDT1,18,
GO:0019318,GO:0019318,hexose metabolic process,25/591,244/18493,3.13E-07,1.97E-06,8.15E-07,AKT1/ATF3/FUT1/GCG/GLB1/GSK3B/IGF1/IRS1/MAPK14/MTOR/PER2/PKM/POMC/PPARA/SIRT1/SRC/TNF/CLK2/G6PD/LEP/RGN/SESN2/TFF3/TIGAR/WDTC1,25,
GO:0007044,GO:0007044,cell-substrate junction assembly,15/591,95/18493,3.23E-07,2.03E-06,8.40E-07,ABL1/BCL2/KDR/PTEN/PTK2/PTK2B/RAC1/RHOA/SRC/THY1/VEGFA/ACVRL1/FN1/ITGA5/ITGA6,15,
GO:0032649,GO:0032649,regulation of interferon-gamma production,15/591,95/18493,3.23E-07,2.03E-06,8.40E-07,ABL1/CD2/FOXP3/GATA3/HRAS/IL1B/IL2/KLRK1/KLRC4-KLRK1/TNF/CCR7/HSPD1/IL10/TLR4/TNFSF4,15,
GO:0046620,GO:0046620,regulation of organ growth,16/591,108/18493,3.23E-07,2.03E-06,8.40E-07,AKT1/CDK1/IGF1/MAPK14/MTOR/PPARA/PTEN/PTK2/SOD1/FGF2/FGF20/FGFR1/G6PD/PAK1/PARP2/TP73,16,
GO:1903707,GO:1903707,negative regulation of hemopoiesis,19/591,150/18493,3.26E-07,2.04E-06,8.46E-07,CTNNB1/ERBB2/FOXP3/GABPA/HIST4H4/IFNB1/IL2/MYC/NFKBIA/PTK2B/ANXA1/HSPA9/IL4/IRF1/LYN/SHH/SOCS1/TLR4/TNFSF4,19,
GO:0051480,GO:0051480,regulation of cytosolic calcium ion concentration,31/591,350/18493,3.31E-07,2.07E-06,8.57E-07,ABL1/AGT/BAK1/BAX/BCL2/CAV1/CD4/ESR1/FASLG/IL2/JAK2/LCK/PML/PTK2B/PTPRC/TGFB1/THY1/ATG5/CCR7/CD24/CD36/CDK5/FGF2/GRM1/IL13/LYN/NTSR1/P2RX7/P2RY6/PLCG2/PRKCE,31,
GO:0051100,GO:0051100,negative regulation of binding,20/591,165/18493,3.31E-07,2.07E-06,8.57E-07,ACE/ACTB/AKT1/BAX/CAV1/DAB2/E2F1/GSK3B/HMOX1/IFI16/JAK2/JUN/MAPK8/NFKBIA/PER2/PPARA/IL10/NEK2/NES/TNKS,20,
GO:0051882,GO:0051882,mitochondrial depolarization,8/591,23/18493,3.33E-07,2.08E-06,8.60E-07,ABL1/BCL2/GCLC/KDR/PARP1/SRC/TSPO/P2RX7,8,
GO:0060148,GO:0060148,positive regulation of posttranscriptional gene silencing,8/591,23/18493,3.33E-07,2.08E-06,8.60E-07,AGO2/EGFR/STAT3/TGFB1/TP53/MAP2K1/MAP2K2/MYCN,8,
GO:0050768,GO:0050768,negative regulation of neurogenesis,27/591,279/18493,3.36E-07,2.09E-06,8.66E-07,APOE/CTNNB1/GSK3B/IL1B/IL6/MDM2/PTEN/PTK2/RHOA/SIRT2/STAT3/TERT/TGFB1/THY1/TNF/TSPO/ASPM/CALR/CDK5/FOXO3/GFAP/LGALS1/MT3/NTRK3/SHH/SOX2/TP73,27,
GO:0046546,GO:0046546,development of primary male sexual characteristics,18/591,136/18493,3.42E-07,2.13E-06,8.82E-07,AR/BAX/BCL2/BCL2L1/CCND1/ERCC1/ESR1/GATA3/ICAM1/KIT/MSH2/RRM1/AKR1C3/ASPM/ATRX/FLNA/LHCGR/NUDT1,18,
GO:0045589,GO:0045589,regulation of regulatory T cell differentiation,9/591,31/18493,3.52E-07,2.19E-06,9.05E-07,FANCD2/FOXP3/IFNG/IL2/TGFB1/IRF1/NFATC2/SOCS1/TNFSF4,9,
GO:0051961,GO:0051961,negative regulation of nervous system development,28/591,298/18493,3.74E-07,2.32E-06,9.61E-07,APOE/CTNNB1/GSK3B/IL1B/IL6/MDM2/PTEN/PTK2/RHOA/SIRT2/STAT3/TERT/TGFB1/THY1/TNF/TSPO/ASPM/CALR/CDK5/EIF2AK3/FOXO3/GFAP/LGALS1/MT3/NTRK3/SHH/SOX2/TP73,28,
GO:0032655,GO:0032655,regulation of interleukin-12 production,11/591,50/18493,3.90E-07,2.41E-06,1.00E-06,CD40/IFNG/MAPK14/NFKB1/CCR7/CD36/HSPD1/IL10/IRF1/TLR4/TNFSF4,11,
GO:2001238,GO:2001238,positive regulation of extrinsic apoptotic signaling pathway,11/591,50/18493,3.90E-07,2.41E-06,1.00E-06,AGT/ATF3/CAV1/PML/PTEN/PTPRC/RET/PAK2/PIDD1/TRAF2/WWOX,11,
GO:0001649,GO:0001649,osteoblast differentiation,23/591,214/18493,3.97E-07,2.46E-06,1.02E-06,ACHE/AKT1/CAT/CTNNB1/HGF/IGF1/IL6/ILK/JUNB/PTCH1/PTK2/TNF/BMP2/HSPE1/JUND/MEN1/SHH/SNAI1/SOX2/TNC/TP63/TWSG1/WWOX,23,
GO:2000779,GO:2000779,regulation of double-strand break repair,13/591,72/18493,4.00E-07,2.47E-06,1.02E-06,CHEK1/MGMT/OGG1/PML/RAD51/RIF1/RPA2/SETD2/SETMAR/TP53BP1/FOXM1/HSF1/POLQ,13,
GO:0071559,GO:0071559,response to transforming growth factor beta,25/591,249/18493,4.59E-07,2.83E-06,1.17E-06,CAV1/CREB1/DAB2/JUN/PARP1/PML/PTK2/RHOA/SIRT1/SRC/TGFB1/ACVRL1/ADAM17/DNM2/EP300/FOS/HIPK2/MEN1/PXN/RASL11B/SMAD2/STK11/TWSG1/USP9X/WWOX,25,
GO:0051271,GO:0051271,negative regulation of cellular component movement,32/591,374/18493,4.64E-07,2.86E-06,1.18E-06,AKT1/APEX1/APOE/BCL2/BCR/BRAF/CDH1/DAB2IP/GATA3/HMOX1/IL24/ILK/KLRK1/KLRC4-KLRK1/PTEN/RHOA/RHOB/SLURP1/STAT3/TGFB1/THY1/TIMP1/ACVRL1/CALR/DUSP1/FGF2/FOXO3/IL4/PPARG/RGN/SERPINE1/SHH,32,
GO:0045833,GO:0045833,negative regulation of lipid metabolic process,14/591,85/18493,4.67E-07,2.88E-06,1.19E-06,AKT1/APOE/BRCA1/DAB2IP/IL1B/NFKB1/SIRT1/SOD1/TNF/AKR1C3/BMP2/PDGFA/SNAI1/WDTC1,14,
GO:1901028,GO:1901028,regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,10/591,41/18493,4.72E-07,2.91E-06,1.20E-06,BAK1/BAX/BCL2/CASP8/E2F1/GSK3B/MAPK8/TP53/TP63/TP73,10,
GO:0002244,GO:0002244,hematopoietic progenitor cell differentiation,16/591,111/18493,4.74E-07,2.91E-06,1.20E-06,ABL1/ACE/BCL2/BRAF/ERCC2/GATA3/KIT/LIG4/PRKDC/PTPRC/TGFB1/XRCC5/FLT3/FST/SHH/TP73,16,
